urdf_joint,omnisim_motor,urdf_type,urdf_lower,urdf_upper,reported_lower,reported_upper
waist_joint,waist_joint_motor,prismatic,-0.5,0,-0.5,0.0
body_joint,body_joint_motor,revolute,0,1.5708,0.0,1.5708
left_joint1,left_joint1_motor,revolute,-3.107,3.107,-3.107,3.107
left_joint2,left_joint2_motor,revolute,-2.269,2.269,-2.269,2.269
left_joint3,left_joint3_motor,revolute,-1.8962,1.8962,-1.8962,1.8962
left_joint4,left_joint4_motor,revolute,-2.356,2.356,-2.356,2.356
left_joint5,left_joint5_motor,revolute,-3.107,3.107,-3.107,3.107
left_joint6,left_joint6_motor,revolute,-2.234,2.234,-2.234,2.234
left_joint7,left_joint7_motor,revolute,-6.283,6.283,0.0,0.0
left_PGIA_joint1,left_PGIA_joint1_motor,prismatic,0.04,0.12,0.04,0.12
left_PGIA_joint2,left_PGIA_joint2_motor,prismatic,0.04,0.12,0.04,0.12
right_joint1,right_joint1_motor,revolute,-3.107,3.107,-3.107,3.107
right_joint2,right_joint2_motor,revolute,-2.269,2.269,-2.269,2.269
right_joint3,right_joint3_motor,revolute,-1.8962,1.8962,-1.8962,1.8962
right_joint4,right_joint4_motor,revolute,-2.356,2.356,-2.356,2.356
right_joint5,right_joint5_motor,revolute,-3.107,3.107,-3.107,3.107
right_joint6,right_joint6_motor,revolute,-2.234,2.234,-2.234,2.234
right_joint7,right_joint7_motor,revolute,-6.283,6.283,0.0,0.0
right_PGIA_joint1,right_PGIA_joint1_motor,prismatic,0.04,0.12,0.04,0.12
right_PGIA_joint2,right_PGIA_joint2_motor,prismatic,0.04,0.12,0.04,0.12
wheel_L_joint,wheel_L_joint_motor,continuous,,,0.0,0.0
wheel_R_joint,wheel_R_joint_motor,continuous,,,0.0,0.0
caster_LF_joint,caster_LF_joint_motor,continuous,,,0.0,0.0
caster_RF_joint,caster_RF_joint_motor,continuous,,,0.0,0.0
caster_LB_joint,caster_LB_joint_motor,continuous,,,0.0,0.0
caster_RB_joint,caster_RB_joint_motor,continuous,,,0.0,0.0
